ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,"Método de Verificacion calibracion",Error de equipo,,Resolucion,,N° de Serie,"ID de equipo con el que se verifica / Calibra  ",Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Vigente,Calibración Vencida,En Proceso de Calibración,,Buscar,27-05-21,>=,20/05/2021,07/05/2021,>=44323.4489422454,27/05/2021,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT206,CMM,25/09/2020,25/09/2021,05/09/2021,Activo,EXTERNO,NA,NA,0,"40""",0609-7011,CERTIFICADO,Laboratorio,Juan Diaz/Adela Flores,Metrologia,NA,,Calibración Vigente,,,0,1,365.00,,,41061,1 de June del 2013,R&R Pendiente,R&R Actualizado,,44092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT207,VISION ENGINEERING,13/08/2020,13/08/2021,24/07/2021,Activo,EXTERNO,NA,NA,O,150mm,100754,CERTIFICADO,Laboratorio,laboratorio Metrologia,Metrología ,NA,,Calibración Vigente,,,0,1,365.00,,,41064,4 de June del 2013,R&R Pendiente,R&R Actualizado,,44049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT211,Calibrador digital,11/11/2018,11/11/2019,22/10/2019,Baja,INTERNO,0.0001,0.0001,0,"6""",,INT062,Marcelo Cortes,Marcelo Cortes,Mantenimiento,N/A,,Baja,,,0,1,365.00,,,41092,2 de July del 2013,R&R Pendiente,R&R Actualizado,,43408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT212,HYPOT ULTRA III/ AC Hipot,12/11/2020,12/11/2021,23/10/2021,Activo,EXTERNO,GO,NO GO,NA,NA,9380902,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,TRW-5874-000,NA,,Calibración Vigente,,,0,1,365.00,,,41147,26 de August del 2013,R&R Pendiente,R&R Actualizado,,44140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT213,JUEGO DE PESAS 5/10/20 kg,03/07/2020,03/07/2021,13/06/2021,Activo,EXTERNO,NA,NA,0,20kg,,VER CERTIFICADO,Calidad,Calidad,laboratorio Metrologia,NA,,Calibración Vigente,,,0,1,365.00,,,41313,8 de February del 2014,R&R Pendiente,R&R Actualizado,,44008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT218,INDICADOR BG,28/05/2020,28/05/2021,08/05/2021,Activo,EXTERNO,"0.0002""","0.0002""",0,".050""",SED 674,INT062,Uso general,Jorge Torres,Mantenimiento,NA,,Calibración Vencida,,,0,1,365.00,365.00,,,15 de febrero del 2013,15 de febrero del 2014,R&R Actualizado,365,,12 de febrero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT219,INDICADOR BG,06/04/2021,06/04/2022,17/03/2022,Activo,EXTERNO,0.0001,0.0001,0,".050""",PSH520,INT062,Marcelo Cortes,Marcelo Cortes,Mantenimiento,NA,,Calibración Vigente,,,0,1,365.00,,,41475,20 de July del 2014,R&R Pendiente,R&R Actualizado,,44285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT220,INDICADOR,19/02/2021,19/02/2022,30/01/2022,Activo,INTERNO,0.01mm,0.01mm,0,12.70mm,13012737,INT062,FIX COT6033,Hector Zambrano,Estampados,NA,,Calibración Vigente,,,0,1,365.00,,,41383,19 de April del 2014,R&R Pendiente,R&R Actualizado,,44239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT223,Dinamómetro( Prueba de tension),13/08/2020,13/08/2021,24/07/2021,Activo,EXTERNO,NA,NA,0,25N,,CERTIFICADO,tecnicos de Calidad,Laboratorio Metrologia,Laboratorio Metrologia,NA,,Calibración Vigente,,,0,1,365.00,365.00,,41500,14 de August del 2014,R&R Pendiente,R&R Actualizado,,44049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT224,RUGOSIMETRO,13/03/2020,13/03/2021,21/02/2021,Reparacion,EXTERNO,NA,NA,Ra,Rz,,CERTIFICADO,tecnicos de Calidad,Griselda Flores,Laboratorio Metrología ,NA,OK,reparacion,,FLOME,0,1,365.00,365.00,,,13 de agosto del 2013,13 de agosto del 2014,R&R Actualizado,730,,12 de marzo del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT225,MICROMETRO,28/10/2020,28/10/2021,08/10/2021,Activo,INTERNO,".0005""",".0005""","0""","1""",103-260-99,INT062,Juan Gonzalez,Juan Gonzalez,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,,,41554,7 de October del 2014,R&R Pendiente,R&R Actualizado,,44125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT228,Cámara de visión,05/12/2019,04/12/2020,14/11/2020,Extraviado,INTERNO,NA,NA,GO,NO GO,,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,,NA,,Extraviado,,,,,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT231,Cámara de visión,10/05/2021,10/05/2022,20/04/2022,Activo,INTERNO,NA,NA,GO,NO GO,,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,YUDAK 2 cot-5552,NA,OK,Calibración Vigente,,FLOME,1,365,365.00,,,41554,7 de October del 2014,R&R Pendiente,#VALUE!,,44319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT233,Pistola de Temperatura,26/01/2021,26/01/2022,06/01/2022,Activo,EXTERNO,NA,NA,1°C,200°C,C0611096207,VER CERTIFICADO,EDUARDO MARQUEZ,EDUARDO MARQUEZ,PROCESOS,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,7 de octubre del 2013,7 de octubre del 2014,R&R Actualizado,365,,21 de enero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT234,Micrómetro digital,18/06/2020,18/06/2021,29/05/2021,Activo,INTERNO,N/A,N/A,0,"1""",5051942,INT066,Incoming,Incoming,Incoming,N/A,,En Proceso de Calibración,,,0,1,365.00,,,41614,6 de December del 2014,R&R Pendiente,R&R Actualizado,,43993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT235,BASCULA (PATIN),03/07/2020,03/07/2021,13/06/2021,Activo,EXTERNO,N/A,N/A,200 Kg,2000 Kg,21309616-134202,CERTIFICADO,ALMACEN,Luis Cruz,ALMACEN ,N/A,,Calibración Vigente,,,0,1,365.00,,,41656,17 de January del 2015,R&R Pendiente,R&R Actualizado,,44008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT236,BASCULA AWS-600,24/08/2018,24/08/2019,04/08/2019,Baja,INTERNO,0.1,0.1,600g,.1g,,INT088,KARLA RAMOS,KARLA RAMOS,ALMACEN,N/A,,Baja,,,0,1,365.00,,,41656,17 de January del 2015,R&R Pendiente,R&R Actualizado,,43329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT237,INDICADOR,23/04/2020,23/04/2021,03/04/2021,Baja,INTERNO,N/A,N/A,0,".0005""",513-424,INT062,CALIDAD,Juan Diaz/ Adela Flores,Metrologia,N/A,,Baja,,,0,1,365.00,,,41656,17 de January del 2015,R&R Pendiente,R&R Actualizado,,43937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT238,HYPOT III AC,18/07/2019,17/07/2020,27/06/2020,Extraviado,EXTERNO,N/A,N/A,GO,NO GO,,CERTIFICADO,Automatizacion,Automatizacion,SOG-8423-000,N/A,,Extraviado,,,0,1,365.00,,,41661,22 de January del 2015,R&R Pendiente,R&R Actualizado,,43657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT239,Cámara de visión,17/06/2020,17/06/2021,28/05/2021,Activo,INTERNO,N/A,N/A,Go,NO GO,N/A,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Yuh-Dak 4 rotary,N/A,,En Proceso de Calibración,,,0,1,365.00,0.00,,,6 de septiembre del 2014,6 de septiembre del 2014,R&R Actualizado,365,,9 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT240,Cámara de visión,17/06/2020,17/06/2021,28/05/2021,Activo,INTERNO,N/A,N/A,Go,NO GO,N/A,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Yuh-Dak 4 rotary,N/A,,En Proceso de Calibración,,,0,1,365.00,0.00,,,30 de marzo del 2015,30 de marzo del 2015,R&R Actualizado,365,,9 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT242,SENSOR DE POSICION,26/08/2020,26/08/2021,06/08/2021,Activo,INTERNO,.02 mm,.02 mm,0,50.8 mm,,INT062,Automatizacion,Automatizacion,VALEO,NA,,Calibración Vigente,,,0,1,365.00,,,41661,22 de January del 2015,R&R Pendiente,R&R Actualizado,,44062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT243,BASCULA TORREY QC-20,08/01/2021,08/01/2022,19/12/2021,Activo,INTERNO,NA,NA,2gm,20 kg,A14-2520,INT088,Produccion,Produccion,Cold Forging,NA,,Calibración Vigente,,,0,1,365.00,,,41666,27 de January del 2015,R&R Pendiente,R&R Actualizado,,44197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT244,BASCULA TORREY QC-20,20/08/2020,20/08/2021,31/07/2021,Activo,INTERNO,NA,NA,2gm,20 kg,A14-2530,INT088,Produccion,Produccion,Linea SEM-2920-000,NA,,Calibración Vigente,,,0,1,365.00,,,41677,7 de February del 2015,R&R Pendiente,R&R Actualizado,,44056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT245,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5°,5°,N/A,N/A,N/A,CERTIFICADO,PROCESOS,israel gonzalez,Yudak 5,NA,,Calibración Vigente,,,0,1,365.00,,,41688,18 de February del 2015,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT246,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5°,5°,N/A,N/A,N/A,CERTIFICADO, Linea TG1C,Eduardo Marquez,Yudak 4,NA,,Calibración Vigente,,,0,1,365.00,365.00,,,1 de julio del 2014,1 de julio del 2015,R&R Actualizado,365,,4 de septiembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT247,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5°,5°,N/A,N/A,N/A,CERTIFICADO,PROCESOS,israel gonzalez,Yudak 6,NA,,Calibración Vigente,,,0,1,365.00,,,41864,13 de August del 2015,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT248,Pressure Gage ,05/05/2020,05/05/2021,15/04/2021,Baja,EXTERNO,N/A,N/A,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yudak 8,NA,,Baja,Marc instruments,FLOME,0,1,365.00,,,42025,21 de January del 2016,No aplica estudio R&R,R&R Actualizado,,43949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT249,Pressure Gage ,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yudak 3,NA,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,,,42025,21 de January del 2016,No aplica estudio R&R,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT250,Pressure Gage ,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yudak 8,NA,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,,,42025,21 de January del 2016,No aplica estudio R&R,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT251,Pressure Gage ,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yudak 6,NA,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT252,Pressure Gage ,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yudak 6,NA,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT253,Pressure Gage ,05/05/2020,05/05/2021,15/04/2021,Baja,EXTERNO,N/A,N/A,0,5000psi,N/A,CERTIFICADO,produccion,Produccion,Yuh-dak 4,NA,,Baja,Marc instruments,FLOME,0,1,365.00,,,,,0 de enero del 1900,R&R Actualizado,365,,5 de mayo del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT254,VERIFICADOR DE PINES,07/10/2020,07/10/2021,17/09/2021,Activo,INTERNO,NA,NA,GO ,NO GO,N/A,SENSATA,Automatizacion,Francisco Esparza,LINEA SENSATA,NA,,Calibración Vigente,,,0,1,365.00,,,41864,13 de August del 2015,R&R Pendiente,R&R Actualizado,,44104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT255,Indicador Análogo,28/10/2020,28/10/2021,08/10/2021,Activo,INTERNO,"0.0005""","0.0005""",".0""","1""",5504,INT062,Juan Gonzalez,Juan Gonzalez,Taller,NA,,Calibración Vigente,,,0,1,365.00,0.00,,,22 de julio del 2014,22 de julio del 2014,R&R Actualizado,365,,1 de noviembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT257,Cámara de visión,19/10/2020,19/10/2021,29/09/2021,Activo,INTERNO,N/A,N/A,GO,NO GO,N/A,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Linea HEL-6798 10R/6725GF9,N/A,,Calibración Vigente,,,0,1,365.00,,,40843,26 de October del 2012,R&R Pendiente,R&R Actualizado,,44116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT262,Cámara de visión,19/10/2020,19/10/2021,29/09/2021,Activo,INTERNO,N/A,N/A,GO,NO GO,N/A,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,COT-3266-000,N/A,,Calibración Vigente,,,0,1,365.00,,,Cámara de visión,#VALUE!,#VALUE!,R&R Actualizado,,44116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT265,BASCULA TORREY,03/02/2021,03/02/2022,14/01/2022,Activo,INTERNO,NA,NA,2gm,20 kg,J14-002927,INT088,Produccion,Produccion,Linea COT-5552,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,3 de February del 2021,3 de February del 2022,R&R Actualizado,365,,27 de January del 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT267,Calibrador digital,15/04/2021,15/04/2022,26/03/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"6""",14487806,INT062,Pedro Esparza,Pedro Esparza,Estampados,NA,,Calibración Vigente,,,0,1,365.00,365.00,,,13 de abril del 2019,12 de abril del 2020,R&R Actualizado,365,,5 de abril del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT268,Micrómetro digital,13/04/2021,13/04/2022,24/03/2022,Activo,INTERNO,NA,NA,0,"1""",45074129,INT062,Leonardo Flores,Leonardo Flores,Taller,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,13 de abril del 2019,12 de abril del 2020,R&R Actualizado,365,,5 de abril del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT269,Calibrador digital,13/04/2021,13/04/2022,24/03/2022,Activo,INTERNO,NA,NA,0,"8""",12622957,INT062,Leonardo Flores,Leonardo Flores,Taller,NA,,Calibración Vigente,,,0,1,365.00,365.00,,,13 de abril del 2019,12 de abril del 2020,R&R Actualizado,365,,5 de abril del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT270,JGO DE PIN GAGES,14/05/2021,14/05/2023,24/04/2023,Activo,INTERNO,NA,NA,"0.011""",".060""",101200200,INT088,Laboratorio,Laboratorio,Metrología ,NA,OK,Calibración Vigente,,FLOME,0,1,730.00,,,JGO DE PIN GAGES,#VALUE!,#VALUE!,R&R Actualizado,,44323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT271,Micrómetro digital,15/04/2021,15/04/2022,26/03/2022,Activo,INTERNO,NA,NA,0,"1""",55023484,INT062,Pedro Esparza,Pedro Esparza,Estampados ,NA,,Calibración Vigente,,,0,1,365.00,0.00,,,25 de junio del 2011,25 de junio del 2011,R&R Actualizado,365,,4 de mayo del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT272,BASCULA TORREY,03/07/2020,03/07/2021,13/06/2021,Activo,INTERNO,.1GR,.1GR,0,20KG,,INT088,Calidad,Calidad,laboratorio Metrologia,NA,,Calibración Vigente,,,0,1,365.00,,,BASCULA TORREY,#VALUE!,#VALUE!,R&R Actualizado,,44008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT274,LASER (VISION),09/07/2020,09/07/2021,19/06/2021,Activo,INTERNO,N/A,N/A,GO,NO GO,3B410046,INT062,Linea Bos-6734,Produccion,Rotary BOS-6734,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,11 de julio del 2019,10 de julio del 2020,R&R Actualizado,365,,3 de julio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT275,Indicador digital,09/07/2020,09/07/2021,19/06/2021,Activo,INTERNO,N/A,N/A,0.0 mm,12.5 mm,6U08,INT062,Linea Bos-6734,Produccion,Rotary BOS-6734,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,11 de julio del 2019,10 de julio del 2020,R&R Actualizado,365,,3 de julio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT276,Indicador digital,09/07/2020,09/07/2021,19/06/2021,Activo,INTERNO,N/A,N/A,0.0 mm,12.5 mm,6U09,INT062,Linea Bos-6734,Produccion,Rotary BOS-6734,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,11 de julio del 2019,10 de julio del 2020,R&R Actualizado,365,,3 de julio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT277,Indicador digital,09/07/2020,09/07/2021,19/06/2021,Activo,INTERNO,N/A,N/A,0.0 mm,12.5 mm,6U10,INT062,Linea Bos-6734,Produccion,Rotary BOS-6734,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,27 de octubre del 2011,26 de octubre del 2012,R&R Actualizado,365,,3 de julio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT278,Indicador digital,09/07/2020,09/07/2021,19/06/2021,Activo,INTERNO,N/A,N/A,0.0 mm,12.5 mm,6U11,INT062,Linea Bos-6734,Produccion,Rotary BOS-6734,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,31 de octubre del 2011,30 de octubre del 2012,R&R Actualizado,365,,3 de julio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT279,IDMS-6225 Keyence,25/05/2021,25/05/2022,05/05/2022,Activo,EXTERNO,N/A,N/A,,,91510028,CERTIFICADO,tecnicos de Calidad,Griselda Flores,Laboratorio Metrologia,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,,,IDMS-6225 Keyence,#VALUE!,#VALUE!,R&R Actualizado,,44334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT280,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,5°,5°,N/A,N/A,,CERTIFICADO,PROCESOS,israel gonzalez,TG1C L2,NA,,Calibración Vigente,,,0,1,365.00,,,40850,2 de November del 2012,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
